PHUGroup;PHUCity;PHURegion;CreatedDate;UpdatedDate
Central;Toronto;Toronto Public Health;11/22/2022;11/22/2022
Central;Newmarket;York Region Public Health Services;11/22/2022;11/22/2022
Central East;Durham Region;Durham Region Health Department;11/22/2022;11/22/2022
Central East;Port Hope;Haliburton, Kawartha, Pine Ridge District Health Unit;11/22/2022;11/22/2022
Central East;Peterborough;Peterborough Public Health;11/22/2022;11/22/2022
Central West;Fergus;Wellington-Dufferin-Guelph Health Unit;11/22/2022;11/22/2022
Champlain;Cornwall;Eastern Ontario Health Unit;11/22/2022;11/22/2022
Champlain;Brockville;Leeds, Grenville and Lanark District Health Unit;11/22/2022;11/22/2022
Champlain;Ottawa;Ottawa Public Health;11/22/2022;11/22/2022
Champlain;Pembroke;Renfrew County and District Health Unit;11/22/2022;11/22/2022
Erie St. Clair;Chatham;Chatham-Kent Health Unit;11/22/2022;11/22/2022
Erie St. Clair;Point Edward;Lambton Health Unit;11/22/2022;11/22/2022
Erie St. Clair;Windsor;Windsor-Essex County Health Unit;11/22/2022;11/22/2022
Hamilton Niagara Haldimand Brant;Brantford;Brant County Health Unit;11/22/2022;11/22/2022
Hamilton Niagara Haldimand Brant;Simcoe;Haldimand-Norfolk Health Unit;11/22/2022;11/22/2022
Hamilton Niagara Haldimand Brant;Oakville;Halton Region Health Department;11/22/2022;11/22/2022
Hamilton Niagara Haldimand Brant;Hamilton;Hamilton Public Health Services;11/22/2022;11/22/2022
Hamilton Niagara Haldimand Brant;Thorold;Niagara Region Public Health Department;11/22/2022;11/22/2022
Mississauga Halton;Mississauga;Peel Public Health;11/22/2022;11/22/2022
North East;Sault Ste. Marie;Algoma Public Health Unit;11/22/2022;11/22/2022
North East;North Bay;North Bay Parry Sound District Health Unit;11/22/2022;11/22/2022
North East;Kenora;Northwestern Health Unit;11/22/2022;11/22/2022
North East;Timmins;Porcupine Health Unit;11/22/2022;11/22/2022
North East;Sudbury;Sudbury and District Health Unit;11/22/2022;11/22/2022
North East;New Liskeard;Timiskaming Health Unit;11/22/2022;11/22/2022
North Simcoe Muskoka;Owen Sound;Grey Bruce Health Unit;11/22/2022;11/22/2022
North Simcoe Muskoka;Barrie;Simcoe Muskoka District Health Unit;11/22/2022;11/22/2022
North West;Thunder Bay;Thunder Bay District Health Unit;11/22/2022;11/22/2022
South East;Belleville;Hastings and Prince Edward Counties Health Unit;11/22/2022;11/22/2022
South East;Kingston;Kingston, Frontenac and Lennox & Addington Health Unit;11/22/2022;11/22/2022
South West;Stratford;Huron Perth Health Unit;11/22/2022;11/22/2022
South West;London;Middlesex-London Health Unit;11/22/2022;11/22/2022
South West;St. Thomas;Southwestern Public Health;11/22/2022;11/22/2022
Waterloo Wellington;Waterloo;Region of Waterloo, Public Health;11/22/2022;11/22/2022
